vehicle_color,color,color_cat
GRN,green,dark
BLK,black,dark
SIL,silver,light
WHI,white,light
BGE,beige,light
TAN,tan,light
RED,red,dark
GRY,gray,dark
GLD,gold,light
BLU,blue,dark
BRO,brown,dark
BRN,brown,dark
PLE,purple,dark
YEL,yellow,light
MAR,maroon,dark
ONG,orange,light
MUL/COL,muli-color,dark
LAV,lavendar,dark
DGR,dark-green,dark
CRM,cream,light
CAM,camouflage,dark
DBL,dark-blue,dark
LGR,light-green,light
TEA,teal,light
TPE,taupe,dark
AME,amethyst,light
LBL,light-blue,light
PNK,pink,light
TRQ,turquoise,light
BRZ,bronze,light
CPR,copper,light
COM,chrome,light
MVE,mauve,light
